commit,commit_date,author_date,path,loc,lloc,comments,blanks,entities,inter_cd,intra_cd,cc
062dc5681c6932bfde4bdd14db70becb759acc2c,2006-03-03 13:56:29+00:00,2006-03-03 13:56:29+00:00,activemq-core/src/main/java/org/apache/activemq/broker/region/policy/PolicyEntry.java,176,176,"added better MBeans for topic subscriptions so that they can see the discarded and matched statistics. Also added a configurable MessageEvictionStrategy

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@382816 13f79535-47bb-0310-9956-ffa450edef68",22,25,1.3622792038073528,1.3622792041097684,19
36722d87744d2db5291d58d5d6eefc947e442c9c,2006-03-15 22:45:38+00:00,2006-03-15 22:45:38+00:00,activemq-core/src/main/java/org/apache/activemq/broker/region/policy/PolicyEntry.java,191,191,"Applied patch in http://jira.activemq.org/jira/browse/AMQ-633
Thanks Brian Diesenhaus!

Also exposed the memory limits and usage via JMX and allowed the limit to be configured via a destination policy.



git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@386199 13f79535-47bb-0310-9956-ffa450edef68",24,28,1.3783711840474435,1.3783711858952745,21
c1a0cd6875ad04dc384ef484e00788cb2f4c51c0,2006-06-12 15:08:33+00:00,2006-06-12 15:08:33+00:00,activemq-core/src/main/java/org/apache/activemq/broker/region/policy/PolicyEntry.java,191,191,"http://issues.apache.org/activemq/browse/AMQ-714

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@413674 13f79535-47bb-0310-9956-ffa450edef68",24,28,1.3769582686106987,1.3769582682079646,21
57b494132549ebef6877bf47da3c3d5d776286e0,2006-07-28 03:04:41+00:00,2006-07-28 03:04:41+00:00,activemq-core/src/main/java/org/apache/activemq/broker/region/policy/PolicyEntry.java,192,192,"Applied new source header boiler plate per http://www.apache.org/legal/src-headers.html

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@426366 13f79535-47bb-0310-9956-ffa450edef68",24,28,1.3769582686106987,1.376958267470972,21
e7e15b5559a8c293c7d9d2e0b6f1413b3a3e11e0,2006-08-09 08:44:27+00:00,2006-08-09 08:44:27+00:00,activemq-core/src/main/java/org/apache/activemq/broker/region/policy/PolicyEntry.java,195,195,"a fix for  AMQ-769 to allow the MessageGroupMap implementation to be specified via a policyEntry

http://incubator.apache.org/activemq/per-destination-policies.html

so you can specify something like this...

 <broker>

    <destinationPolicy>
      <policyMap>
        <policyEntries>
          <policyEntry queue="">"">
           <messageGroupMapFactory>
            <simpleMessageGroupMapFactory/>
    

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@429995 13f79535-47bb-0310-9956-ffa450edef68",25,28,1.3868208775376623,1.3868208716669912,23
ac66a09dab2a3a756def13c35e54a8a2e11017b8,2006-09-04 04:56:25+00:00,2006-09-04 04:56:25+00:00,activemq-core/src/main/java/org/apache/activemq/broker/region/policy/PolicyEntry.java,199,199,"Added a MemoryPropertyEditor that allows you to specify memory sizes in the xbean config like: limit=""20 MB""
Upgraded the xbean maven plugin to 2.6 and the new qdox that it used did not like some of our valid inline initialization of variables, so I had
to refactor to an equivalent form that qdox did like.

http://issues.apache.org/activemq/browse/AMQ-827
http://issues.apache.org/activemq/browse/AMQ-909



git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@439930 13f79535-47bb-0310-9956-ffa450edef68",25,28,1.3868208775376623,1.3868208714401171,23
3a9299bade47de24705eebfe8cb4941309986a00,2006-10-13 11:17:41+00:00,2006-10-13 11:17:41+00:00,activemq-core/src/main/java/org/apache/activemq/broker/region/policy/PolicyEntry.java,222,222,"Fixed failing test cases: - a few problems had been there for a while

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@463646 13f79535-47bb-0310-9956-ffa450edef68",30,31,1.3814731517779733,1.3814731513426315,25
e00678027f52d17cc2670e5a965f52a39049d631,2006-11-23 08:19:00+00:00,2006-11-23 08:19:00+00:00,activemq-core/src/main/java/org/apache/activemq/broker/region/policy/PolicyEntry.java,223,223,"support for different message storage cursor types for Queue destination policies

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@478509 13f79535-47bb-0310-9956-ffa450edef68",30,31,1.3823188525375945,1.3823188525204937,25
0c0be94a312fd432f3076fbe8ab91a2080e65043,2007-01-28 19:39:02+00:00,2007-01-28 19:39:02+00:00,activemq-core/src/main/java/org/apache/activemq/broker/region/policy/PolicyEntry.java,268,268,"Updated support for configurable Cursor types from the Destination Policy Map

git-svn-id: https://svn.apache.org/repos/asf/incubator/activemq/trunk@500862 13f79535-47bb-0310-9956-ffa450edef68",36,38,1.364420024298107,1.3644200236240913,17
3013c2020bcc65019a957017fcbda3ae5b79dac8,2007-02-26 11:04:18+00:00,2007-02-26 11:04:18+00:00,activemq-core/src/main/java/org/apache/activemq/broker/region/policy/PolicyEntry.java,268,268,"updated wiki links in source code to point to the graduated site

git-svn-id: https://svn.apache.org/repos/asf/activemq/trunk@511784 13f79535-47bb-0310-9956-ffa450edef68",36,38,1.364420024298107,1.3644200227868204,17
